Global Land Temperature Anomalies, March
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.76
1881,-0.22
1882,-0.22
1883,-0.68
1884,-0.93
1885,-0.52
1886,-0.78
1887,-0.29
1888,-0.78
1889,0.13
1890,-0.55
1891,-0.34
1892,-0.70
1893,-0.23
1894,-0.11
1895,-0.45
1896,-0.75
1897,-0.96
1898,-1.71
1899,-0.70
1900,-0.03
1901,0.18
1902,-0.26
1903,-0.27
1904,-0.79
1905,-0.75
1906,-0.30
1907,-0.54
1908,-1.05
1909,-0.67
1910,-0.56
1911,-0.87
1912,-0.81
1913,-0.77
1914,-0.17
1915,-0.18
1916,-0.59
1917,-0.99
1918,-0.45
1919,-0.52
1920,-0.04
1921,-0.24
1922,-0.09
1923,-0.39
1924,-0.06
1925,-0.12
1926,0.41
1927,-0.56
1928,-0.45
1929,-0.24
1930,0.20
1931,0.00
1932,-0.44
1933,-0.45
1934,-0.47
1935,0.03
1936,-0.26
1937,-0.49
1938,0.31
1939,-0.35
1940,0.06
1941,-0.02
1942,0.01
1943,-0.13
1944,0.34
1945,-0.15
1946,-0.11
1947,0.35
1948,-0.34
1949,-0.18
1950,-0.13
1951,-0.26
1952,-0.33
1953,0.48
1954,-0.21
1955,-0.74
1956,-0.42
1957,-0.31
1958,0.11
1959,0.56
1960,-0.74
1961,0.40
1962,0.33
1963,0.03
1964,-0.30
1965,-0.09
1966,0.11
1967,0.08
1968,0.86
1969,-0.06
1970,-0.13
1971,-0.14
1972,0.01
1973,0.79
1974,0.09
1975,0.43
1976,-0.66
1977,0.67
1978,0.47
1979,0.28
1980,0.03
1981,0.97
1982,-0.14
1983,0.62
1984,0.47
1985,0.28
1986,0.63
1987,0.13
1988,0.75
1989,0.66
1990,1.67
1991,0.42
1992,0.75
1993,0.83
1994,0.72
1995,0.82
1996,0.31
1997,0.78
1998,0.93
1999,0.36
2000,1.08
2001,1.18
2002,1.57
2003,0.85
2004,1.30
2005,1.33
2006,1.16
2007,1.23
2008,1.85
2009,1.00
2010,1.54
2011,0.98
2012,0.88
2013,1.09
2014,1.36
2015,1.68
2016,2.50
2017,1.95
2018,1.60
2019,1.99
2020,2.12
2021,1.58
2022,1.66
